,portfolio_nav_gross
2020-11-03,89839441.56458108
2020-11-04,90972516.75143807
2020-11-05,93283665.1680955
2020-11-06,92725513.47834666
2020-11-09,94773851.54520662
2020-11-10,96475409.37314366
2020-11-11,96690170.59987646
2020-11-12,96621301.95975144
2020-11-13,100404736.4516428
2020-11-16,101765155.69567358
2020-11-17,102164820.48465766
2020-11-18,101283319.7427503
2020-11-19,101312466.84273702
2020-11-20,101496948.77613726
2020-11-23,103205866.37685758
2020-11-24,105237841.53213741
2020-11-25,105000968.93186606
2020-11-27,105715828.66566719
2020-11-30,104234891.61069584
2020-12-01,105952626.4464988
2020-12-02,106461022.8025624
2020-12-03,108167954.4565941
2020-12-04,110356928.1068378
2020-12-07,111160947.60370918
2020-12-08,111950520.73907766
2020-12-09,111092673.86189196
2020-12-10,111250062.43406221
2020-12-11,111923832.3638324
2020-12-14,111775776.68058574
2020-12-15,114868521.44298993
2020-12-16,115277531.76890458
2020-12-17,117100456.04219064
2020-12-18,117728797.67971642
2020-12-21,117574113.9447883
2020-12-22,117367970.10576755
2020-12-23,117145632.082999
2020-12-24,117341781.12978147
2020-12-28,116598714.55093785
2020-12-29,115855932.03070006
2020-12-30,117407928.80641608
2020-12-31,116667602.05764493
2021-01-04,114575934.9051542
2021-01-05,116455194.24629429
2021-01-06,118521269.09279178
2021-01-07,121725039.14165762
2021-01-08,122343373.52142143
2021-01-11,123897354.23122695
2021-01-12,125205494.4435722
2021-01-13,124808810.39569053
2021-01-14,125801181.31875719
2021-01-15,122871005.11044656
2021-01-19,123668021.11003354
2021-01-20,125517007.66971457
2021-01-21,125431991.05018106
2021-01-22,125568213.90644437
2021-01-25,125649120.53238286
2021-01-26,125554768.52593946
2021-01-27,122271273.65148015
2021-01-28,123473637.03655052
2021-01-29,121714662.58062543
2021-02-01,123843875.07912132
2021-02-02,125541087.00297798
2021-02-03,125557856.73520564
2021-02-04,127544815.92781149
2021-02-05,128915831.33305232
2021-02-08,131308587.96803513
2021-02-09,132232630.7706149
2021-02-10,130457752.74971211
2021-02-11,131396333.49295507
2021-02-12,132550642.00069582
2021-02-16,132619084.87214532
2021-02-17,131117675.78765708
2021-02-18,129890202.77459185
2021-02-19,131724739.53464873
2021-02-22,131671871.29491983
2021-02-23,131934053.71433046
2021-02-24,133660020.97684295
2021-02-25,130937702.88519524
2021-02-26,130902989.99576694
2021-03-01,135460474.82480332
2021-03-02,135191424.16678792
2021-03-03,132708548.98155299
2021-03-04,130796020.40152656
2021-03-05,132624554.4282998
2021-03-08,131707599.64166781
2021-03-09,135954131.44708127
2021-03-10,137731241.06955385
2021-03-11,145058687.6833772
2021-03-12,145910390.37448725
2021-03-15,147230752.8627535
2021-03-16,145255952.60877416
2021-03-17,146580529.68017727
2021-03-18,139367639.9519399
2021-03-19,140527658.28764403
2021-03-22,139753143.9052215
2021-03-23,135095394.24242935
2021-03-24,132432505.59736845
2021-03-25,135798985.2276569
2021-03-26,137703119.66599482
2021-03-29,133941272.49954699
2021-03-30,135676148.83967623
2021-03-31,136916619.14794838
2021-04-01,140176049.77393037
2021-04-05,140733299.45384243
2021-04-06,141636043.05764294
2021-04-07,139690426.10124618
2021-04-08,142161591.79955694
2021-04-09,142734402.25488186
2021-04-12,142983098.31611615
2021-04-13,142782158.093196
2021-04-14,142769102.97843227
2021-04-15,143367586.9154489
2021-04-16,144361285.7314596
2021-04-19,142473050.57258925
2021-04-20,139613763.48001724
2021-04-21,144020457.4097321
2021-04-22,143578017.05108014
2021-04-23,146571902.4391107
2021-04-26,148556349.25790718
2021-04-27,148332046.08552432
2021-04-28,148706960.8418856
2021-04-29,148074164.9996075
2021-04-30,146117673.1251012
2021-05-03,146974782.3486904
2021-05-04,144155585.5628177
2021-05-05,143859127.92408618
2021-05-06,141212268.07567894
2021-05-07,144963079.588565
2021-05-10,145435055.08116716
2021-05-11,146038831.54730612
2021-05-12,143149111.33151552
2021-05-13,146022295.64254928
2021-05-14,149606560.64087898
2021-05-17,150424689.42935106
2021-05-18,148743618.3326632
2021-05-19,148362945.69992438
2021-05-20,149807461.7880193
2021-05-21,150087291.4205633
2021-05-24,151237587.32445705
2021-05-25,152353594.42760056
2021-05-26,155178060.81757435
2021-05-27,155752027.31195793
2021-05-28,156354377.55645514
2021-06-01,157833982.23113036
2021-06-02,157440303.98706672
2021-06-03,156856568.06287593
2021-06-04,160232329.9468759
2021-06-07,162794938.4110292
2021-06-08,164033347.51752898
2021-06-09,162014697.65612534
2021-06-10,159819212.32386908
2021-06-11,162557257.28775698
2021-06-14,160916846.00535294
2021-06-15,161191169.90125746
2021-06-16,161477447.93803552
2021-06-17,158299884.93702126
2021-06-18,155160782.42484325
2021-06-21,159441554.03923392
2021-06-22,158397462.7142582
2021-06-23,160186408.09235454
2021-06-24,160167817.74280155
2021-06-25,159758771.48542166
2021-06-28,158980018.8151145
2021-06-29,157908413.41214257
2021-06-30,157699747.61091012
2021-07-01,160268528.69905773
2021-07-02,157843692.5317464
2021-07-06,156987923.72647446
2021-07-07,156127273.00456917
2021-07-08,155673672.41543123
2021-07-09,157982565.05991113
2021-07-12,161856956.87667337
2021-07-13,160100856.43820325
2021-07-14,156450393.8558209
2021-07-15,156006193.26567706
2021-07-16,154687334.33983457
2021-07-19,153459824.4193231
2021-07-20,158513569.2864512
2021-07-21,161524866.01605546
2021-07-22,164514460.97511062
2021-07-23,166860312.57687292
2021-07-26,163867923.738814
2021-07-27,157901412.47509044
2021-07-28,159610022.0636057
2021-07-29,163299148.19549945
2021-07-30,163373769.3282908
2021-08-02,163616221.74914134
2021-08-03,160658954.10868448
2021-08-04,157916769.3810498
2021-08-05,160180187.47994304
2021-08-06,159468713.05417737
2021-08-09,157825789.77270448
2021-08-10,160428622.17541996
2021-08-11,161719323.03599155
2021-08-12,159740490.15076122
2021-08-13,155525298.35024813
2021-08-16,154494202.99449265
2021-08-17,152630035.85460398
2021-08-18,152246403.8678644
2021-08-19,150594851.46057898
2021-08-20,150381898.24494836
2021-08-23,151889412.03666487
2021-08-24,152861132.68524423
2021-08-25,155459310.35012954
2021-08-26,154530944.22279668
2021-08-27,158111795.08235487
2021-08-30,156500876.13058928
2021-08-31,156812258.43148977
2021-09-01,157523679.71539858
2021-09-02,158361116.8713333
2021-09-03,157640194.02718452
2021-09-07,157072882.1698518
2021-09-08,156076880.7370988
2021-09-09,158262994.57546407
2021-09-10,159055517.99585497
2021-09-13,158913184.67565522
2021-09-14,157145676.593939
2021-09-15,159262241.8044647
2021-09-16,160007976.63430074
2021-09-17,160367196.0364543
2021-09-20,155754069.47496933
2021-09-21,157388081.37756687
2021-09-22,158945685.6350837
2021-09-23,160012092.67469224
2021-09-24,159526450.223959
2021-09-27,160109676.99470964
2021-09-28,155423626.9324681
2021-09-29,154206609.616347
2021-09-30,152832219.45933455
2021-10-01,153487446.78372407
2021-10-04,153048585.72099042
2021-10-05,155059869.82581094
2021-10-06,153643139.58617547
2021-10-07,156294161.80305105
2021-10-08,155864317.64580524
2021-10-11,154134110.44013536
2021-10-12,153971471.90116155
2021-10-13,154705903.812412
2021-10-14,156633105.42641458
2021-10-15,156869322.42802572
2021-10-18,158381981.4314793
2021-10-19,158812424.73762155
2021-10-20,162136168.8779482
2021-10-21,163428546.5028689
2021-10-22,163589097.65542504
2021-10-25,164699803.4658316
2021-10-26,162845338.85437918
2021-10-27,159711254.979747
2021-10-28,162942636.68388543
2021-10-29,163192712.6778282
2021-11-01,167022306.32943106
2021-11-02,173226895.95421812
2021-11-03,171498718.02562395
2021-11-04,170170683.94553697
2021-11-05,170565860.39930132
2021-11-08,168669716.90753293
2021-11-09,168748260.48780948
2021-11-10,166968856.74606597
2021-11-11,166504738.24605843
2021-11-12,167537822.1454922
2021-11-15,168731944.4674971
2021-11-16,170789591.8915521
2021-11-17,168855829.37664697
2021-11-18,168494350.65442106
2021-11-19,167785077.31445453
2021-11-22,168009940.3198184
2021-11-23,166032743.81062758
2021-11-24,167074809.24439746
2021-11-26,162575845.8437651
2021-11-29,162577233.12455717
2021-11-30,162573796.083461
2021-12-01,162569085.91819218
2021-12-02,162573808.2969319
2021-12-03,162569103.26277205
2021-12-06,162572385.7884268
2021-12-07,162578416.19581294
2021-12-08,162578577.76716366
2021-12-09,162574867.3902574
2021-12-10,162572907.65018684
2021-12-13,162567853.56332117
2021-12-14,162568159.1196089
2021-12-15,162570543.48256496
2021-12-16,162568705.76329005
2021-12-17,162568689.3413514
2021-12-20,162563910.11264324
2021-12-21,162572311.9508988
2021-12-22,162571290.98160177
2021-12-23,162571676.72542244
2021-12-27,162576273.6886172
2021-12-28,162575180.8589451
2021-12-29,162574211.2008936
2021-12-30,162574009.00778192
2021-12-31,162574201.9564154
2022-01-03,162576781.504973
2022-01-04,162579077.68007427
2022-01-05,162576829.23641512
2022-01-06,162580212.75625324
2022-01-07,162576610.89580712
2022-01-10,162575580.11709824
2022-01-11,162581087.68159112
2022-01-12,162581501.53402075
2022-01-13,162579073.58512348
2022-01-14,162917391.63175943
2022-01-18,162665871.88595918
2022-01-19,162286884.43275526
2022-01-20,162060514.5577164
2022-01-21,161345020.7311755
2022-01-24,161551303.85368162
2022-01-25,161040566.79507014
2022-01-26,161094253.6012051
2022-01-27,160635317.0269691
2022-01-28,160705520.68993044
2022-01-31,161482665.3650335
2022-02-01,161690439.38481486
2022-02-02,161783108.61663336
2022-02-03,161332016.87411222
2022-02-04,161637516.18598846
2022-02-07,162002504.85506433
2022-02-08,162122391.87575126
2022-02-09,163018828.36394554
2022-02-10,162271447.38960785
2022-02-11,161620862.79991966
2022-02-14,162361629.0056002
2022-02-15,161152248.4598459
2022-02-16,161373880.39082226
2022-02-17,160648818.673871
2022-02-18,160360945.99739233
2022-02-22,159759429.62662262
2022-02-23,159622447.1899721
2022-02-24,160706233.36468676
2022-02-25,161508387.78450707
2022-02-28,161670919.4971583
2022-03-01,161419332.84029076
2022-03-02,161988136.5322114
2022-03-03,161534008.4431214
2022-03-04,161070053.14472625
2022-03-07,160271856.72838128
2022-03-08,161021138.1638455
2022-03-09,162235120.2175109
2022-03-10,162624161.8936717
2022-03-11,162994120.49779835
2022-03-14,163286910.08895847
2022-03-15,164392347.42352873
2022-03-16,167336379.88189322
2022-03-17,168322357.73625806
2022-03-18,167472489.40355858
2022-03-21,166801541.86902606
2022-03-22,167275662.0563331
2022-03-23,166550734.03468633
2022-03-24,166623611.5892331
2022-03-25,166275260.12914607
2022-03-28,166069488.75919193
2022-03-29,166737050.2260904
2022-03-30,165919734.91660494
2022-03-31,166272522.69371206
2022-04-01,166113357.19612002
2022-04-04,167450087.21636823
2022-04-05,167010147.85335293
2022-04-06,165238153.26930484
2022-04-07,165555999.24070528
2022-04-08,165147296.48149666
2022-04-11,165817106.06623006
2022-04-12,165887460.21493626
2022-04-13,166599952.17543432
2022-04-14,166353153.16609755
2022-04-18,166409553.80495593
2022-04-19,167533083.70319176
2022-04-20,169516744.72670007
2022-04-21,168873229.13211775
2022-04-22,168204319.4627002
2022-04-25,168204319.4627002
2022-04-26,168204319.4627002
2022-04-27,168204319.4627002
2022-04-28,168204319.4627002
2022-04-29,168204319.4627002
2022-05-02,168204319.4627002
2022-05-03,168204319.4627002
2022-05-04,168204319.4627002
2022-05-05,168204319.4627002
2022-05-06,168204319.4627002
2022-05-09,168204319.4627002
2022-05-10,168204319.4627002
2022-05-11,168204319.4627002
2022-05-12,168204319.4627002
2022-05-13,168204319.4627002
2022-05-16,168204319.4627002
2022-05-17,168204319.4627002
2022-05-18,168204319.4627002
2022-05-19,168204319.4627002
2022-05-20,168204319.4627002
2022-05-23,168204319.4627002
2022-05-24,168204319.4627002
2022-05-25,168204319.4627002
2022-05-26,168204319.4627002
2022-05-27,168204319.4627002
2022-05-31,168204319.4627002
2022-06-01,168204319.4627002
2022-06-02,168204319.4627002
2022-06-03,168204319.4627002
2022-06-06,168204319.4627002
2022-06-07,168204319.4627002
2022-06-08,168204319.4627002
2022-06-09,168204319.4627002
2022-06-10,168204319.4627002
2022-06-13,168204319.4627002
2022-06-14,168204319.4627002
2022-06-15,168204319.4627002
2022-06-16,168204319.4627002
2022-06-17,168204319.4627002
2022-06-21,168204319.4627002
2022-06-22,168204319.4627002
2022-06-23,168204319.4627002
2022-06-24,168204319.4627002
2022-06-27,168204319.4627002
2022-06-28,168204319.4627002
2022-06-29,168204319.4627002
2022-06-30,168204319.4627002
2022-07-01,168204319.4627002
2022-07-05,168204319.4627002
2022-07-06,168204319.4627002
2022-07-07,168204319.4627002
2022-07-08,168204319.4627002
2022-07-11,168204319.4627002
2022-07-12,168204319.4627002
2022-07-13,168204319.4627002
2022-07-14,168204319.4627002
2022-07-15,168204319.4627002
2022-07-18,168204319.4627002
2022-07-19,168204319.4627002
2022-07-20,168204319.4627002
2022-07-21,168204319.4627002
2022-07-22,168204319.4627002
2022-07-25,168204319.4627002
2022-07-26,168204319.4627002
2022-07-27,168204319.4627002
2022-07-28,168204319.4627002
2022-07-29,168204319.4627002
2022-08-01,168204319.4627002
2022-08-02,168204319.4627002
2022-08-03,168204319.4627002
2022-08-04,168204319.4627002
2022-08-05,168204319.4627002
2022-08-08,168204319.4627002
2022-08-09,168204319.4627002
2022-08-10,168204319.4627002
2022-08-11,168204319.4627002
2022-08-12,168204319.4627002
2022-08-15,168204319.4627002
2022-08-16,168204319.4627002
2022-08-17,168204319.4627002
2022-08-18,168204319.4627002
2022-08-19,168204319.4627002
2022-08-22,168204319.4627002
2022-08-23,168204319.4627002
2022-08-24,168204319.4627002
2022-08-25,168204319.4627002
2022-08-26,168204319.4627002
2022-08-29,168204319.4627002
2022-08-30,168204319.4627002
2022-08-31,168204319.4627002
2022-09-01,168204319.4627002
2022-09-02,168204319.4627002
2022-09-06,168204319.4627002
2022-09-07,168204319.4627002
2022-09-08,168204319.4627002
2022-09-09,168204319.4627002
2022-09-12,168204319.4627002
2022-09-13,168204319.4627002
2022-09-14,168204319.4627002
2022-09-15,168204319.4627002
2022-09-16,168204319.4627002
2022-09-19,168204319.4627002
2022-09-20,168204319.4627002
2022-09-21,168204319.4627002
2022-09-22,168204319.4627002
2022-09-23,168204319.4627002
2022-09-26,168204319.4627002
2022-09-27,168204319.4627002
2022-09-28,168204319.4627002
2022-09-29,168204319.4627002
2022-09-30,165808611.88600427
2022-10-03,170269960.73970544
2022-10-04,176673409.8390262
2022-10-05,176058234.87072814
2022-10-06,176917740.7087109
2022-10-07,170280025.79385036
2022-10-10,171277333.43670118
2022-10-11,170454816.3996926
2022-10-12,169866123.58004734
2022-10-13,172705279.15804803
2022-10-14,165601623.1768336
2022-10-17,172013703.1290762
2022-10-18,174440474.32753077
2022-10-19,170455851.8168057
2022-10-20,168678650.0989823
2022-10-21,173073948.26226193
2022-10-24,177490226.04587007
2022-10-25,183177513.06679827
2022-10-26,184588405.0657012
2022-10-27,186442747.09011668
2022-10-28,190390870.3396261
2022-10-31,190119420.39709482
2022-11-01,189675557.0217103
2022-11-02,182707411.5093887
2022-11-03,183487480.72851348
2022-11-04,184436513.43064857
2022-11-07,185490802.1708295
2022-11-08,185701830.0085442
2022-11-09,181151006.97349197
2022-11-10,192886940.7101804
2022-11-11,195361541.16377705
2022-11-14,194283677.9511837
2022-11-15,196965081.4827361
2022-11-16,192899485.15085867
2022-11-17,190413288.237423
2022-11-18,190309196.1260505
2022-11-21,190003382.51997998
2022-11-22,192761575.27120206
2022-11-23,194431324.18735847
2022-11-25,195313651.48890582
2022-11-28,191549734.14504877
2022-11-29,192446524.73641595
2022-11-30,197849989.40817663
2022-12-01,197462654.1042528
2022-12-02,198030741.74494213
2022-12-05,191314706.9918938
2022-12-06,188458332.9108646
2022-12-07,187551114.45605722
2022-12-08,188191753.55286294
2022-12-09,183636723.0277595
2022-12-12,187465910.48077267
2022-12-13,188072238.07765555
2022-12-14,188014367.32220826
2022-12-15,182377660.56763193
2022-12-16,180457505.84550294
2022-12-19,176031827.10084558
2022-12-20,175958025.2044197
2022-12-21,178423655.9455041
2022-12-22,174038003.43103522
2022-12-23,176015189.12193125
2022-12-27,174032891.41820386
2022-12-28,172685666.59239718
