date,equity
2017-06-23,16395185.35666381
2017-06-26,16406289.317644984
2017-06-27,16276890.47264262
2017-06-28,16442568.918552224
2017-06-29,16353187.11455212
2017-06-30,16359365.376832357
2017-07-03,16409304.824227575
2017-07-05,16422365.318849688
2017-07-06,16317867.22514672
2017-07-07,16414051.473926136
2017-07-10,16393366.079796012
2017-07-11,16433353.717098843
2017-07-12,16583803.237529518
2017-07-13,16625506.400806662
2017-07-14,16689302.883719156
2017-07-17,16714598.731233684
2017-07-18,16735811.020526152
2017-07-19,16852310.198620897
2017-07-20,16882946.0770162
2017-07-21,16886226.434233185
2017-07-24,16910022.22839164
2017-07-25,16961540.96545331
2017-07-26,16935711.553390194
2017-07-27,16846846.18429476
2017-07-28,16836831.02234581
2017-07-31,16748632.91271486
2017-08-01,16781615.22770928
2017-08-02,16716924.27715685
2017-08-03,16629189.932033896
2017-08-04,16691435.129717276
2017-08-07,16743876.2671748
2017-08-08,16643395.586716663
2017-08-09,16575903.191110576
2017-08-10,16292987.757119823
2017-08-11,16337095.852370596
2017-08-14,16496898.886571713
2017-08-15,16474411.80512522
2017-08-16,16481085.083095858
2017-08-17,16235548.907317089
2017-08-18,16220259.438174408
2017-08-21,16239299.766866488
2017-08-22,16420059.047492122
2017-08-23,16418294.29170101
2017-08-24,16442423.257140584
2017-08-25,16438967.220301203
2017-08-28,16478178.012431145
2017-08-29,16511155.557246448
2017-08-30,16671247.117260477
2017-08-31,16813284.066806857
2017-09-01,16893527.27537437
2017-09-05,16805395.23620853
2017-09-06,16867251.89144792
2017-09-07,16850167.940387923
2017-09-08,16859631.63110471
2017-09-11,17028322.736901455
2017-09-12,17127513.82575422
2017-09-13,17091570.529496696
2017-09-14,17037966.0757166
2017-09-15,17092962.148870815
2017-09-18,17189987.760432985
2017-09-19,17219592.939493153
2017-09-20,17277272.559595708
2017-09-21,17259662.654475514
2017-09-22,17303279.934824876
2017-09-25,17258922.615572125
2017-09-26,17269519.700994167
2017-09-27,17426626.786112763
2017-09-28,17479826.650912154
2017-09-29,17505724.928121936
2017-10-02,17643385.081062064
2017-10-03,17682588.82473297
2017-10-04,17727642.907335598
2017-10-05,17758058.185613547
2017-10-06,17751395.63258517
2017-10-09,17693391.89449923
2017-10-10,17707848.164761014
2017-10-11,17704228.517297488
2017-10-12,17681289.969431594
2017-10-13,17691430.67199655
2017-10-16,17727346.989538636
2017-10-17,17675008.725349296
2017-10-18,17705296.79711917
2017-10-19,17711412.168494582
2017-10-20,17806814.002930388
2017-10-23,17744985.217288166
2017-10-24,17829271.927257333
2017-10-25,17726445.818506744
2017-10-26,17812081.144435667
2017-10-27,17850750.819386553
2017-10-30,17748952.43481357
2017-10-31,17848783.360510536
2017-11-01,17796044.042391684
2017-11-02,17814697.51875486
2017-11-03,17842488.108603697
2017-11-06,17899395.253191497
2017-11-07,17757526.257952046
2017-11-08,17770899.329590544
2017-11-09,17667774.11136196
2017-11-10,17673045.61499482
2017-11-13,17677977.032107368
2017-11-14,17659980.8070699
2017-11-15,17580013.74307346
2017-11-16,17770758.469713543
2017-11-17,17789541.88398066
2017-11-20,17857993.186035007
2017-11-21,17954372.12455211
2017-11-22,17929355.844328973
2017-11-24,17974416.227877192
2017-11-27,17935651.030036867
2017-11-28,18080282.433816984
2017-11-29,18036912.332807817
2017-11-30,18110148.423244487
2017-12-01,18070176.88494544
2017-12-04,18044206.327489343
2017-12-05,17983481.344041653
2017-12-06,17962395.67332486
2017-12-07,18069216.688487947
2017-12-08,18124371.64767478
2017-12-11,18128948.251754902
2017-12-12,18098858.083126627
2017-12-13,18117653.71869816
2017-12-14,18047165.10419441
2017-12-15,18183208.441330105
2017-12-18,18306340.747730337
2017-12-19,18263955.75513051
2017-12-20,18308909.799052987
2017-12-21,18308513.067803465
2017-12-22,18366522.866624195
2017-12-26,18364970.76468198
2017-12-27,18386024.97999093
2017-12-28,18438669.32454208
2017-12-29,18372890.09914988
2018-01-02,18492265.545257103
2018-01-03,18511251.422761407
2018-01-04,18546571.235945985
2018-01-05,18595564.96911797
2018-01-08,18655984.715156566
2018-01-09,18656742.17321924
2018-01-10,18673570.204735883
2018-01-11,18851679.517417483
2018-01-12,18925712.55961624
2018-01-16,18769670.72028792
2018-01-17,18858978.61864375
2018-01-18,18844519.993260566
2018-01-19,18981421.107863903
2018-01-22,19030019.68199456
2018-01-23,19087292.639607783
2018-01-24,19070669.54922447
2018-01-25,19103924.950193036
2018-01-26,19201892.938881505
2018-01-29,19129505.0088336
2018-01-30,19002473.03790063
2018-01-31,18940424.96436665
2018-02-01,18960565.509185374
2018-02-02,18716816.89707492
2018-02-05,18371907.454456456
2018-02-06,18519954.6252845
2018-02-07,18492710.027315136
2018-02-08,18147010.505183667
2018-02-09,18254308.73447905
2018-02-12,18256134.867863238
2018-02-13,18256866.838204958
2018-02-14,18259774.58596096
2018-02-15,18259725.866138168
2018-02-16,18261425.338993903
2018-02-20,18261186.68098884
2018-02-21,18260793.907609846
2018-02-22,18259205.691543914
2018-02-23,18258521.821799982
2018-02-26,18258885.186213583
2018-02-27,18257655.576814417
2018-02-28,18256177.67063508
2018-03-01,18255223.336598825
2018-03-02,18255375.08725953
2018-03-05,18255921.13123948
2018-03-06,18256685.253258035
2018-03-07,18256992.925676487
2018-03-08,18256888.659891456
2018-03-09,18258741.385001317
2018-03-12,18258712.56717337
2018-03-13,18258877.906529445
2018-03-14,18257383.86566538
2018-03-15,18257315.533711243
2018-03-16,18258058.22553788
2018-03-19,18258490.42732363
2018-03-20,18258200.70498244
2018-03-21,18258827.025056217
2018-03-22,18256193.127697468
2018-03-23,18254654.16811351
2018-03-26,18254654.16811351
2018-03-27,18254654.16811351
2018-03-28,18254654.16811351
2018-03-29,18254654.16811351
2018-04-02,18254654.16811351
2018-04-03,18254654.16811351
2018-04-04,18254654.16811351
2018-04-05,18254654.16811351
